temperature,abs_magnetisation,magnetisation_squared,energy_per_site,susceptibility,heat_capacity
1.804609299,0.9971003532,0.9942141771,-2.982800007,0.002807474695,0.05834279209
1.943425417,0.9955202341,0.9910714626,-2.973639965,0.00561259035,0.09769912064
2.082241535,0.9931201935,0.9863087535,-2.959800005,0.01010470651,0.1600653082
2.221057653,0.9899403453,0.9800050259,-2.941439867,0.0104124276,0.1560885608
2.359873772,0.9859198928,0.9720723033,-2.918879986,0.01452309452,0.1887231469
2.49868989,0.9799202085,0.9602946639,-2.885280132,0.02041933127,0.2463381141
2.637506008,0.9725001454,0.9458351731,-2.843840122,0.02980790474,0.3400447369
2.776321888,0.963640213,0.9286830425,-2.796560049,0.02902598493,0.2913869619
2.915138006,0.9535399675,0.9093508124,-2.74368,0.03854183108,0.3732629716
3.053954124,0.9401800036,0.8841816187,-2.676239967,0.07963018864,0.5995195508
3.192770243,0.9236002564,0.8532810211,-2.595639944,0.07629869133,0.5546518564
3.331586361,0.905600071,0.8204073906,-2.510639906,0.08880978078,0.5106101036
3.470402479,0.8862198591,0.7858499289,-2.421200037,0.1337771714,0.7368171811
3.609218597,0.8584401011,0.7375695109,-2.306760073,0.1801242828,0.8102739453
3.748034716,0.8236997724,0.679666996,-2.166280031,0.3163405955,1.007313251
3.886850834,0.7922199965,0.6288362741,-2.052999973,0.3148417771,0.9917188883
4.025666714,0.7457401156,0.5586292744,-1.887680054,0.6212514639,1.467682362
4.16448307,0.6870801449,0.4748037457,-1.707239985,0.6542510986,1.198082566
4.30329895,0.5664801598,0.3392731547,-1.46231997,4.269608021,2.096025467
4.442115307,0.433940053,0.2161031514,-1.216599941,6.258097172,2.072183371
4.580931187,0.2947800159,0.1054731458,-1.006520033,4.055483341,0.9395164251
4.719747543,0.1429800093,0.03018411808,-0.8400399685,2.063846588,0.4364531338
4.858563423,0.1412800252,0.02941599302,-0.806640029,1.946243525,0.3770762384
4.99737978,0.1015199944,0.0175987985,-0.7704799771,1.459262609,0.3446286023
5.13619566,0.09882000834,0.01356483903,-0.7133200169,0.7397391796,0.2212784588
5.275012016,0.08431999385,0.01052271575,-0.6812800169,0.6469851136,0.2360953838
5.413827896,0.08956002444,0.01210288052,-0.6771199703,0.753973484,0.1997878104
5.552643776,0.0812599957,0.01004659664,-0.6446400285,0.6201387644,0.1837963313
5.691460133,0.07961999625,0.009523160756,-0.6185600162,0.5594025254,0.197125718
5.830276012,0.06129999459,0.005501159932,-0.6038799882,0.2990373969,0.167817384
5.969092369,0.06693999469,0.006286118645,-0.57099998,0.3024171889,0.1204048172
6.107908249,0.06282000989,0.005771799479,-0.5509200096,0.2988659441,0.122985296
6.246724606,0.06605998427,0.006394999102,-0.532400012,0.3251428008,0.09794341773
6.385540485,0.05890001357,0.005292438902,-0.5315600038,0.2855243683,0.09501425922
6.524356842,0.05065998435,0.004105078988,-0.5008400083,0.2358309031,0.08232674748
6.663172722,0.05934000388,0.005693240091,-0.4926400185,0.3259714544,0.09494261444
6.801989079,0.04119999707,0.002794559579,-0.4939200282,0.1612939835,0.07572342455
6.940804958,0.05033999309,0.004189480096,-0.4862000048,0.2384976149,0.08763631433
7.079621315,0.05656000972,0.004753759131,-0.4632000029,0.2196055949,0.09793230146
7.218437195,0.05074000359,0.003784519387,-0.4471600056,0.1676223725,0.07333541662
