temperature,abs_magnetisation,magnetisation_squared,energy_per_site,susceptibility,heat_capacity
1.804609299,0.9972536564,0.9945145249,-2.983729601,-0.01268318016,0.05895692855
1.943425417,0.9955054522,0.9910311103,-2.973494291,0,0.01694510505
2.082241535,0.9929848313,0.9860186577,-2.958908319,-0.007328059059,0.08856640011
2.221057653,0.9895814657,0.9792720675,-2.939391375,0.017175138,0.15568313
2.359873772,0.985012114,0.9702493548,-2.913482428,0.01293186843,0.1953670681
2.49868989,0.9794251323,0.9592740536,-2.882541895,0.0122134313,0.164011851
2.637506008,0.9725693464,0.9458914399,-2.845018148,0.007231636904,0.2254027277
2.776321888,0.9636468291,0.9286162853,-2.797312498,0.02473220043,0.2989116609
2.915138006,0.9537075758,0.9095603228,-2.745436668,0.04841753468,0.3577299416
3.053954124,0.9405545592,0.8846460581,-2.678939342,0.06620235741,0.490637809
3.192770243,0.9253747463,0.8563221097,-2.604365826,0.07407712191,0.5116844773
3.331586361,0.9073864222,0.8233550191,-2.519511938,0.09389076382,0.5939023495
3.470402479,0.8861735463,0.7853128314,-2.423855066,0.1714766026,0.8582085371
3.609218597,0.8601388335,0.7398515344,-2.311915636,0.2261833847,0.9433108568
3.748034716,0.8280977011,0.6857625842,-2.182970047,0.2870156467,1.134415269
3.886850834,0.7894055247,0.6231918931,-2.04014945,0.5074027181,1.437156796
4.025666714,0.74158144,0.5499731302,-1.877516866,0.4785349071,1.042577267
4.16448307,0.6775301099,0.4590963125,-1.687900662,0.7570800781,1.251922965
4.30329895,0.588516891,0.346470803,-1.470428109,1.764939427,1.666668177
4.442115307,0.408654213,0.167546764,-1.178847551,7.902496338,2.17469883
4.580931187,0.04932344332,0.003962479066,-0.9272443652,21.3710556,0.6128206849
4.719747543,0.02607499622,0.000940821541,-0.8533543944,3.538034916,0.4341889322
4.858563423,0.01832250133,0.0004974323674,-0.8030999899,2.130253553,0.3128066361
4.99737978,0.01359500084,0.0002736124152,-0.7586043477,1.137086987,0.2947087884
5.13619566,0.01200562436,0.0002053402713,-0.722823143,0.7626532912,0.2856654823
5.275012016,0.01072062645,0.0001858752803,-0.693114996,0.8607336879,0.2078650147
5.413827896,0.008315309882,0.0001046746474,-0.6640968919,0.4200239182,0.2399901897
5.552643776,0.00928156171,0.0001393996063,-0.6378312111,0.6137872338,0.1911010742
5.691460133,0.008475625888,0.0001160660031,-0.6142299771,0.4973601103,0.1756567657
5.830276012,0.008329686709,0.0001072833984,-0.5942518711,0.4160321355,0.120204322
5.969092369,0.00813875068,9.940078598e-05,-0.5753681064,0.3555544913,0.1491437107
6.107908249,0.007848436013,0.0001045898462,-0.5586649776,0.4504785538,0.1209975407
6.246724606,0.006608437281,7.477942563e-05,-0.5400881171,0.3187127709,0.1221375763
6.385540485,0.005936250091,5.94535195e-05,-0.5269224644,0.2426928878,0.1114404798
6.524356842,0.007138439454,8.096696547e-05,-0.5115287304,0.2943764925,0.08020252734
6.663172722,0.007127186749,8.502729906e-05,-0.4996262491,0.3287852108,0.1014688239
6.801989079,0.006329686847,6.302905967e-05,-0.4844506085,0.2160697281,0.1061446443
6.940804958,0.006273124833,6.037544517e-05,-0.4750418663,0.1938527822,0.0865598321
7.079621315,0.006110312417,6.083579137e-05,-0.4628968835,0.2124395967,0.06490288675
7.218437195,0.005968749523,5.353165761e-05,-0.4541918635,0.1587551534,0.09770498425
